City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
133,Manono,CD,2022-03-22 13:16:39,-7.3,27.4167,71.98,94,97,6.31
134,La Union,PE,2022-03-22 13:16:40,-5.4,-80.75,73.58,70,99,10.85
135,Le Locle,CH,2022-03-22 13:16:40,47.0595,6.7523,55.35,46,20,6.91
136,Taoudenni,ML,2022-03-22 13:16:40,22.6783,-3.9836,89.94,9,0,14.34
137,Dekar,BW,2022-03-22 13:16:41,-21.5333,21.9333,83.19,28,6,11.54
138,Biloela,AU,2022-03-22 13:16:41,-24.4167,150.5,68.79,84,0,4.36
139,Tuktoyaktuk,CA,2022-03-22 13:16:42,69.4541,-133.0374,-16.6,76,75,5.75
140,Inhambane,MZ,2022-03-22 13:16:42,-23.865,35.3833,78.78,78,75,10.36
141,Oudtshoorn,ZA,2022-03-22 13:16:42,-33.5907,22.2014,71.96,36,2,13.29
142,Oranjemund,NA,2022-03-22 13:16:43,-28.55,16.4333,67.73,81,41,12.62
143,Lat Yao,TH,2022-03-22 13:16:43,15.751,99.7893,91.76,43,100,12.1
144,Real,PH,2022-03-22 13:16:44,14.6625,121.6047,78.51,91,54,5.59
145,Cape Town,ZA,2022-03-22 13:16:19,-33.9258,18.4232,91.11,46,0,16.11
146,Katherine,AU,2022-03-22 13:16:44,-14.4667,132.2667,88.12,48,75,10.36
147,Toktogul,KG,2022-03-22 13:16:44,41.8708,72.9402,42.33,97,100,1.39
148,Hilo,US,2022-03-22 13:16:45,19.7297,-155.09,70.25,88,0,5.75
149,Shingu,JP,2022-03-22 13:16:45,33.7333,135.9833,41.2,84,100,6.33
150,Shache,CN,2022-03-22 13:16:45,38.4167,77.2406,60.85,26,55,7.02
151,Ulaangom,MN,2022-03-22 13:16:46,49.9811,92.0667,1.36,98,90,4.05
152,Georgetown,MY,2022-03-22 13:16:46,5.4112,100.3354,85.95,77,20,4.61
153,Bat Yam,IL,2022-03-22 13:16:47,32.0231,34.7503,61.02,43,20,9.22
154,Bontang,ID,2022-03-22 13:16:47,0.1333,117.5,77.58,87,100,3.47
155,Nome,US,2022-03-22 13:16:47,64.5011,-165.4064,-2.13,78,0,0.0
