City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
115,Upington,ZA,93.58,scattered clouds,-28.4478,21.2561,Upington
116,Victoria,HK,69.85,overcast clouds,22.2855,114.1577,Hong Kong
117,Makakilo City,US,70.68,clear sky,21.3469,-158.0858,Kapolei
118,Abu Kamal,SY,59.79,clear sky,34.4506,40.9171,Al Bukamal
119,Iguape,BR,77.47,moderate rain,-24.7081,-47.5553,Ilha Comprida
120,Longyearbyen,SJ,6.64,few clouds,78.2186,15.6401,Longyearbyen
121,Kismayo,SO,83.05,scattered clouds,-0.3582,42.5454,Kismayo
122,Antofagasta,CL,72.21,scattered clouds,-23.65,-70.4,Antofagasta
123,Jaru,BR,81.75,heavy intensity rain,-10.4389,-62.4664,Jaru
124,Nouadhibou,MR,69.78,overcast clouds,20.931,-17.0347,Nouadhibou
125,Cidreira,BR,74.84,clear sky,-30.1811,-50.2056,CIDREIRA
126,Tyssedal,NO,46.87,overcast clouds,60.1165,6.562,Odda
127,Ozinki,RU,33.33,overcast clouds,51.1786,49.6769,Rabochiy Poselok Ozinki
128,Saint George,US,54.19,clear sky,37.1041,-113.5841,St. George
129,Dwarka,IN,81.36,clear sky,22.2394,68.9678,Dwarka
130,Mecca,SA,87.96,clear sky,21.4267,39.8261,Mecca
131,Byron Bay,AU,69.71,light rain,-28.65,153.6167,Byron Bay
132,Grindavik,IS,39.15,overcast clouds,63.8424,-22.4338,Grindavik
133,Constitucion,CL,64.04,broken clouds,-35.3333,-72.4167,Constitución
134,Port Lincoln,AU,66.24,overcast clouds,-34.7333,135.8667,Port Lincoln
135,Aasiaat,GL,18.09,few clouds,68.7098,-52.8699,Aasiaat
136,Beloha,MG,75.13,light rain,-25.1667,45.05,Beloha
137,Hirara,JP,68.85,overcast clouds,24.8,125.2833,Hirara
138,Manokwari,ID,78.57,overcast clouds,-0.8667,134.0833,Manokwari
139,Arlit,NE,97.95,clear sky,18.7369,7.3853,Arlit
140,Vanino,RU,28.9,overcast clouds,49.0869,140.2543,Vanino
141,Buraydah,SA,72.05,clear sky,26.326,43.975,Buraydah
142,Tokmak,UA,38.21,overcast clouds,47.2514,35.7058,Tokmak
143,Kavieng,PG,80.87,light rain,-2.5744,150.7967,Kavieng
144,Yuancheng,CN,42.4,clear sky,36.652,107.7896,Qingyang
145,Quelimane,MZ,84.15,broken clouds,-17.8786,36.8883,Quelimane
146,Pinega,RU,18.48,overcast clouds,64.7001,43.3936,Pinega
147,Sistranda,NO,46.36,light rain,63.7256,8.834,Sistranda
148,Liverpool,GB,65.28,scattered clouds,53.4106,-2.9779,Liverpool
149,Biltine,TD,91.69,clear sky,14.5333,20.9167,Biltine
150,New Norfolk,AU,62.1,overcast clouds,-42.7826,147.0587,New Norfolk
151,Torbay,CA,47.28,broken clouds,47.6666,-52.7314,St. John's
152,Lebu,CL,60.3,overcast clouds,-37.6167,-73.65,Lebu
153,Hofn,IS,39.22,overcast clouds,64.2539,-15.2082,Höfn
154,Fairbanks,US,30.81,clear sky,64.8378,-147.7164,Fairbanks
155,Te Anau,NZ,51.15,few clouds,-45.4167,167.7167,Te Anau
156,Oildale,US,71.89,clear sky,35.4197,-119.0195,Bakersfield
157,Yumen,CN,50.94,scattered clouds,40.2833,97.2,Jiuquan
158,Impfondo,CG,92.41,overcast clouds,1.6381,18.0667,Impfondo
159,Puerto Ayora,EC,82.36,broken clouds,-0.7393,-90.3518,Puerto Ayora
160,Hovd,MN,35.83,overcast clouds,48.0056,91.6419,Khovd
161,Galesong,ID,78.82,overcast clouds,-5.3166,119.3661,Kampung Parang
162,Bairiki,KI,80.6,few clouds,1.3292,172.9752,Bairiki
163,Asosa,ET,86.4,overcast clouds,10.0667,34.5333,Asosa
164,Saint-Philippe,RE,81.99,light rain,-21.3585,55.7679,Saint-Philippe
165,Sevlievo,BG,69.15,clear sky,43.0258,25.1136,Sevlievo
166,Candido De Abreu,BR,81.52,clear sky,-24.5669,-51.3333,Cândido de Abreu
