City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
175,Manggar,ID,-2.8833,108.2667,83.75,72,77,3.83,broken clouds,2022-03-24 00:53:28
176,Alappuzha,IN,9.49,76.3264,80.42,80,96,1.39,overcast clouds,2022-03-24 00:49:06
177,Shingu,JP,33.7333,135.9833,55.51,53,2,1.48,clear sky,2022-03-24 00:53:28
178,Bethel,US,41.3712,-73.414,41.36,63,100,5.01,overcast clouds,2022-03-24 00:53:29
179,Khash,IR,28.2211,61.2158,57.09,29,0,5.68,clear sky,2022-03-24 00:53:29
180,Codrington,AU,-38.2667,141.9667,60.57,59,100,7.02,overcast clouds,2022-03-24 00:53:29
181,Bowen,AU,-20.0167,148.2333,82.09,51,5,10.78,clear sky,2022-03-24 00:53:30
182,Marquette,US,46.5333,-87.6335,29.82,95,100,11.54,snow,2022-03-24 00:53:30
183,Omboue,GA,-1.5746,9.2618,78.66,87,98,4.63,overcast clouds,2022-03-24 00:53:30
184,Yerbogachen,RU,61.2767,108.0108,16.11,95,100,5.26,overcast clouds,2022-03-24 00:53:31
185,Castro,BR,-24.7911,-50.0119,64.72,91,99,4.14,overcast clouds,2022-03-24 00:51:50
186,Luderitz,NA,-26.6481,15.1594,63.82,84,7,9.6,clear sky,2022-03-24 00:53:31
187,Arraial Do Cabo,BR,-22.9661,-42.0278,73.36,83,0,8.05,clear sky,2022-03-24 00:53:32
188,Nador,MA,35.174,-2.9287,61.05,88,100,3.44,mist,2022-03-24 00:53:32
189,Souillac,MU,-20.5167,57.5167,79.18,83,40,8.05,scattered clouds,2022-03-24 00:53:32
190,Caucaia,BR,-3.7361,-38.6531,81.03,80,20,4.61,few clouds,2022-03-24 00:53:33
191,Eyl,SO,7.9803,49.8164,76.59,81,30,4.94,scattered clouds,2022-03-24 00:53:33
192,Saint George,US,37.1041,-113.5841,74.43,9,0,8.01,clear sky,2022-03-24 00:53:33
193,Upernavik,GL,72.7868,-56.1549,-13.99,96,59,5.39,broken clouds,2022-03-24 00:53:34
194,Thompson,CA,55.7435,-97.8558,37.56,87,100,6.91,overcast clouds,2022-03-24 00:50:56
195,Mastic Beach,US,40.7668,-72.8521,42.78,67,100,13.0,overcast clouds,2022-03-24 00:53:34
196,Saint Anthony,US,45.0205,-93.218,35.92,81,75,20.71,broken clouds,2022-03-24 00:53:34
